company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,total_filed,wilson_lower,wilson_upper,point_rate,uncertainty_width,recommendation,Y,Y_hat,group
DOMINO DATA LAB INC,Other Technology,dominodatalab.com,SAN FRANCISCO,CA,94105,(203) 722-4773,2012.0,13.0,"Christopher Minzer Yang, Nicholas Elprin",Matthew D. Granade,3000000.0,3000000.0,Seed,2015-07-22,34.0,0.0,100.0,300000.0,"['Director, GSI Alliances']",34.0,0.8984820937803899,1.0,1.0,0.1015179062196101,PRIORITIZE,1,1,ESTABLISHED
DOPPEL INC,Other Technology,doppel.com,COVINA,CA,91723,(408) 839-6561,2022.0,3.0,"Kevin Tian, Rahul Madduluri",Zane Lackey,19424868.0,19424868.0,Series B,2023-12-21,10.0,0.0,100.0,130000.0,['Software Engineer'],10.0,0.7224598312333834,1.0,1.0,0.2775401687666166,PRIORITIZE,1,1,YOUNG
DV01 INC,Other Technology,dv01.co,NEW YORK,NY,10010,(646) 854-5258,2014.0,11.0,"Amy Johnson, Barbara Bridges, Perry Rahbar","Brian McGrath, Dinkar Jetley, Gary Litt, Ilan Stern",28392798.0,15000000.0,Series B,2019-01-23,16.0,0.0,100.0,172500.0,"['Data Engineer II', 'Senior Quantitative Engineer II']",16.0,0.8063865817272802,1.0,1.0,0.1936134182727198,PRIORITIZE,1,1,ESTABLISHED
ECHO LABORATORIES INC,Other Health Care,echo-laboratories.com,SAN DIEGO,CA,92110,(858) 717-5404,2013.0,12.0,Eugene Cho,Peter Chu,16037888.0,14037888.0,Series A,2017-03-17,4.0,0.0,100.0,75872.215,"['Process Development Scientist - Upstream', 'Analytical Development/ Quality Control Associate']",4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
ELEVATE SERVICES INC,Other,elevateservices.com,LOS ANGELES,CA,90012,(213) 347-0203,2011.0,14.0,"Liam Brown, Richard Little, Steve Harmon",Liam Brown,30000000.0,25000000.0,Series A,2019-05-21,4.0,0.0,100.0,262000.0,['Vice President - Consulting'],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
EMBARK VETERINARY INC,Other,embarkveterinary.com,BOSTON,MA,2111,(607) 253-3503,2015.0,10.0,"Adam Boyko, Ryan Boyko, Spencer Wells, Zenobia Moochhala","Carl Byers, Eric Paley, Lydia Jett, Matthew Salzberg",99532838.0,75000011.0,Series C,2021-07-16,6.0,0.0,100.0,106262.0,"['Research Scientist II, Genome Science']",6.0,0.6096569663469354,1.0,1.0,0.3903430336530644,CONSIDER,1,0,ESTABLISHED
ESSENTIAL AI LABS INC,Other Technology,essentialailabs.com,SAN FRANCISCO,CA,94105,(213) 210-9995,2023.0,2.0,"Ashish Vaswani, Niki Parmar",James Montgomery,51499954.0,51499954.0,Series B,2023-10-30,4.0,0.0,100.0,180000.0,['Technical Staff'],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,YOUNG
ETHIC INC,Investing,ethic.com,NEW YORK,NY,10013,(917) 524-9947,2015.0,10.0,"Douglas Scott, Jordan Lipman","Dan Petrozzo, Jennifer Grancio, John Mair, John Morris, Jordan Lipman, Matt Streisfeld, Stephanie DiMarco",142891930.0,43999990.0,Series C,2025-01-23,6.0,0.0,100.0,133370.0,['Portfolio Manager'],6.0,0.6096569663469354,1.0,1.0,0.3903430336530644,CONSIDER,1,0,ESTABLISHED
EUCLID LABS INC,Other Technology,euclid-labs.com,SAN FRANCISCO,CA,94104,(415) 422-9319,2021.0,4.0,"SIDA ZHANG, TAN LU, ZHUOJIE ZHOU, ZHUOJIE ZHUO, ZHUOXUN YIN","TAN LU, ZHUOXUN YIN",203995150.0,6217875.0,Series A,2023-06-14,12.0,0.0,100.0,163613.0,['Business Development ETH Manager '],12.0,0.7574992425007574,1.0,1.0,0.2425007574992426,PRIORITIZE,1,1,YOUNG
EXABEAM INC,Other Technology,exabeam.com,SAN MATEO,CA,94403,(844) 392-2326,2013.0,12.0,"Domingo Mihovilovic, Nir Polak, Sylvain Gil","Jeb Miller, Matthew Howard, Shlomo Kramer, Theresia Giouw",25000000.0,25000000.0,Series B,2015-09-16,68.0,2.0,97.14285714285714,157500.0,"['Senior Software Engineer', 'Data Engineer']",70.0,0.9016755648760818,0.9921295531061936,0.9714285714285714,0.0904539882301118,PRIORITIZE,1,1,ESTABLISHED
FABFITFUN INC,Other,fabfitfun.com,BEVERLY HILLS,CA,90211,(310) 625-7026,2015.0,10.0,"Daniel Broukhim, Michael Broukhim",Mood Rowghani,103502430.0,99999990.0,Series C,2019-01-14,18.0,0.0,100.0,104000.0,"['Analyst, Analytics']",18.0,0.8241154494176252,1.0,1.0,0.1758845505823748,PRIORITIZE,1,1,ESTABLISHED
FAMOUS GROUP TECHNOLOGIES INC,Other Technology,,El Segundo,CA,90245,(310) 641-9464,2021.0,4.0,"Greg Harvey, Jon Slusser","Chris Weil, Irene Whyte",8999906.0,8999906.0,Series A,2022-03-17,4.0,0.0,100.0,63898.0,['Technical Producer '],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,YOUNG
FARMER'S BUSINESS NETWORK INC,Other Technology,farmersbusinessnetwork.com,San Carlos,CA,94070,(844) 200-3276,2014.0,11.0,"Amol Deshpande, Charles Baron, Diego Lopez Casanello, Guillaume Luebke, John Vaske","Alan Willits, David Delaney, Elliot Shmukler, Lorenzo Gonzalez, Mike DeCamp",266000000.0,60000000.0,Series B,2025-05-06,8.0,0.0,100.0,142647.53999999998,"['Senior NetSuite Administrator', 'Data Scientist']",8.0,0.6755843804891231,1.0,1.0,0.3244156195108769,CONSIDER,1,0,ESTABLISHED
FASTLY INC,Other Technology,fastly.com,SAN FRANCISCO,CA,94107,(844) 432-7859,2011.0,14.0,"Adriel Lares, Artur Bergman, Dan D. Miller, Gil Penchina, Joshua D. Bixby, Paul D. Luongo, Tyler McMullen, William Kaufmann, Wolfgang D. Maasberg","Aida D. Alvarez, Christopher B. D. Paisley, David D. Hornik, David Hornik, Gil Penchina, Kelly D. Wright, Sunil Dhaliwal",776299861.0,556263319.0,Series D+,2020-10-01,40.0,0.0,100.0,180000.0,"['Senior Sales Engineer - Sales Plan', 'Senior Sales Operations Lead', 'Principal Software Engineer, Network Management Platform']",40.0,0.9123754607496076,1.0,1.0,0.0876245392503922,PRIORITIZE,1,1,ESTABLISHED
FATHOM INC,Other Technology,fathom.com,OAKLAND,CA,94612,(650) 995-4393,2015.0,10.0,"ANDREW LOCKHART, Andrew Lockhart, CHRISTOPHER BOCKMAN, Christopher Bockman, RISHI REDDY","GALYM IMANBAYEV, MARK MCLAUGHLIN, Rishi Reddy",61404693.0,46596083.0,Series C,2022-11-04,12.0,0.0,100.0,150000.0,['Software Engineer'],12.0,0.7574992425007574,1.0,1.0,0.2425007574992426,PRIORITIZE,1,1,ESTABLISHED
FEVER LABS INC,Other Technology,feverlabs.com,NEW YORK,NY,10012,(212) 810-7277,2011.0,14.0,"HECTOR LOPEZ VILASECO, IGNACIO BACHILLER, Ignacio Bachiller, Josep Gomez Torres","ALEJANDRO ZUBILLAGA, Alejandro Zubillaga, BERNARDO HERNANDEZ, Bernardo Hernandez, Chen Moravsky, Hatim Khety, JACOB BRO OLESEN, Javier Nuche, Kevin Tsujihara, Maria Cordon, Michael Zeisser, Oskar Mielczarek de la Miel, Stephen Kerns",382028240.0,70000000.0,Series C,2023-01-11,6.0,0.0,100.0,92518.0,['Senior Business Development Manager'],6.0,0.6096569663469354,1.0,1.0,0.3903430336530644,CONSIDER,1,0,ESTABLISHED
FIGMA INC,Other,figma.com,SAN FRANCISCO,CA,94102,(415) 890-5404,2012.0,13.0,"Dylan Field, Evan Wallace, Kris Rasmussen, Nadia Singer, Praveer Melwani, Sheila Vashee, Yuhki Yamashita","Andrew Reed, Daniel Rimer, Danny Rimer, John Lilly, Lynn Vojvodich, Mamoon Hamid",721999732.0,415749740.0,Series D+,2024-05-15,188.0,2.0,98.94736842105264,190000.0,"['Software Engineer', 'Account Manager, Enterprise', 'Software Engineer - Infrastructure', 'Motion Designer, Brand Studio', 'Data Scientist, Product Analytics']",190.0,0.9624377486753166,0.9971086025723,0.9894736842105264,0.0346708538969833,PRIORITIZE,1,1,ESTABLISHED
FLATIRON HEALTH INC,Other Technology,flatironhealth.com,NEW YORK,NY,10007,(212) 240-9898,2012.0,13.0,"Nat Turner, Zachary Weinberg",Krishna Yeshwant,7999997.0,7999997.0,Series A,2012-10-29,98.0,0.0,100.0,179610.97999999998,"['Senior Quantitative Scientist', 'Senior Software Engineer', 'Security Engineer', 'Senior Site Reliability Engineer']",98.0,0.962278675904542,1.0,1.0,0.0377213240954579,PRIORITIZE,1,1,ESTABLISHED
FLEX LOGIX TECHNOLOGIES INC,Other Technology,,MOUNTAIN VIEW,CA,94040,(650) 851-1411,2014.0,11.0,"Cheng Cheng Wang, Geoff Tate, Geoffrey Ross Tate","Peter Cheng Hebert, Peter Hebert, Pierre Lamond, Shirish Cheng Sathaye",12469198.0,5000000.0,Series A,2017-05-03,8.0,2.0,80.0,151902.0,"['Inference SoC and Logic Design Engineer', 'Senior Hardware Design Engineer', 'Sr. Staff Physical Design Engineer']",10.0,0.4901568467207233,0.9433190520193068,0.8,0.4531622052985833,CONSIDER,1,0,ESTABLISHED
FLEXE INC,Other Technology,flexe.com,SEATTLE,WA,98104,18557337788,2013.0,12.0,"EDMOND YUE, FRANCIS DUONG, HASSAN NATHA, KARL SIEBRECHT, Karl Siebrecht","DIANNE RANDOLPH, EDMOND YUE, Edmond Yue, Francis Duong, MICHAEL GALGON, MIKE GALGON, Mike Galgon, Mike Karl Galgon, RAJ ATLURU, ROBERT SPEITH, RYAN SARVER, Raj Atluru, Raj Karl Atluru, Ryan Sarver",293012114.0,150000011.0,Series C,2022-04-07,24.0,2.0,92.3076923076923,140000.0,"['Manager, Software Development']",26.0,0.7585805251948495,0.9786453608166245,0.9230769230769232,0.2200648356217749,PRIORITIZE,1,1,ESTABLISHED
FLYR INC,Other,flyr.com,SAN FRANCISCO,CA,94107,(855) 908-3999,2013.0,12.0,"Alexander Mans, Andrew Jing, Jean Tripier","Jean Tripier, Martin Edelman, Pankaj Shah, Phin Upham, Toby Stuart, Todd Kimmel, Ullas Naik, William Cunningham",186228174.0,134795267.0,Series D+,2021-09-27,24.0,0.0,100.0,170000.0,"['Staff Data Scientist, Machine Learning Analytics', 'Senior Backend Engineer', 'Lead Delivery Data Scientist']",24.0,0.8620194241710247,1.0,1.0,0.1379805758289752,PRIORITIZE,1,1,ESTABLISHED
FOG PHARMACEUTICALS INC,Pharmaceuticals,fogpharmaceuticals.com,CAMBRIDGE,MA,2140,(617) 945-9510,2015.0,10.0,"Gregory L Verdine, Gregory L. Verdine, Michael L Aceti, WeiQing A Zhou, WeiQing A. Zhou, WeiQing L Zhou, WeiQing M. Zhou","Barbara M. Weber, Corey S. Goodman, Edward A. Fitzgerald, Edward M Fitzgerald, Edward M. Fitzgerald, Jeffrey A Leerink, Jeffrey A. Leerink, Krishna M. Yeshwant, Leon A. Chen, Leon M. Chen, Rick M. Klausner",412014884.0,177999922.0,Series D+,2022-11-17,12.0,0.0,100.0,110000.0,"['Scientist I, Biochemistry']",12.0,0.7574992425007574,1.0,1.0,0.2425007574992426,PRIORITIZE,1,1,ESTABLISHED
FORMATION DATA SYSTEMS INC,Other Technology,,FREMONT,CA,94538-5818,(415) 361-7710,2012.0,13.0,"Andrew Jenks, Eric Chan, Mark Lewis","Anthony Bettencourt, Carl Ledbetter, Robert Schwartz",35000374.0,20000374.0,Series A,2016-06-29,130.0,12.0,91.54929577464787,88400.0,"['Devops Engineer', 'Software Developer', 'Software Quality Assurance Analyst and Tester', 'Data Engineer', 'Software Engineer']",142.0,0.8580978629768358,0.9509991299250524,0.9154929577464788,0.0929012669482165,PRIORITIZE,1,1,ESTABLISHED
FORMLABS INC,Other Technology,formlabs.com,Somerville,MA,2143,(617) 702-8476,2011.0,14.0,"Maxim Boris Lobovsky, Maxim Lobovsky, Natan Boris Linder, Natan Linder","Barry Boris Schuler, Barry Schuler, Brad Boris Feld, Brad Feld, Carl Bass, Carl Boris Bass, Jeffrey Immelt",85633743.0,14999948.0,Series A,2018-07-16,70.0,10.0,87.5,111000.0,"['Systems Integration Engineer', 'Optical Engineer', 'Customer Team Strategy and Operations Lead', 'Strategy and Operations Lead', 'Software Engineer']",80.0,0.7849700281693438,0.9306651696322248,0.875,0.1456951414628811,PRIORITIZE,1,1,ESTABLISHED
FORWARD NETWORKS INC,Other,forwardnetworks.com,Santa Clara,CA,95054,(844) 393-6389,2013.0,12.0,"Brandon Heller, David Erickson, Nikhil Handigol","Andreas Stavropoulos, Brandon Heller, Joshua Matheus, L. William Krause, Victor Hwang",112149998.0,49999998.0,Series C,2022-12-09,30.0,0.0,100.0,180045.0,"['Member of Technical Staff', 'IT Systems Engineer', 'Senior DevOps Engineer', 'Principal Member of Technical Staff']",30.0,0.8864829086095221,1.0,1.0,0.1135170913904779,PRIORITIZE,1,1,ESTABLISHED
FOURKITES INC,Other Technology,fourkites.com,CHICAGO,IL,60606,(888) 466-6958,2013.0,12.0,"ARUN CHANDRASEKARAN, Arun Chandrasekaran, DAVE WALKER, MATHEW ELENJICKAL, Mathew Elenjickal, STEPHANIE KOLACZYNSKI, Sean Fallon, Stephanie Kolaczynski","Ajay Agarwal, Eric Carlborg, IRA WEISS, Ira Weiss, JOSEPH BEATTY, Jai Shekhawat, Joseph Beatty, Mike Kaczmarek, Samuel Rives",249193743.0,80009062.0,Series B,2022-06-13,8.0,0.0,100.0,131600.0,"['Director, OIS Services', 'Software Engineer II']",8.0,0.6755843804891231,1.0,1.0,0.3244156195108769,CONSIDER,1,0,ESTABLISHED
FOURSQUARE LABS INC,Other Technology,,New York,NY,10010,(914) 355-9124,2009.0,16.0,"Brian Chase, David Im, Dennis Crowley, Evan Cohen, Gary Little, James HuYoung, Jeff Glueck, Marc Ellenbogen, Rory Parness, Steven Rosenblatt","Albert Wenger, Barry Schuler, Ben Horowitz, Benjamin Horowitz, Brandon Gardner, Dennis Crowley, Gary Little, Gilad Elbaz, Gina Loften, Scott Kupor",340864461.0,3801879.0,Seed,2025-04-07,56.0,0.0,100.0,190000.0,"['Data Scientist', 'Senior Manager (Data Platform)', 'Software Engineer', 'Senior Manager, Engineering', 'Staff Engineer (Full Stack)']",56.0,0.9358038555118846,1.0,1.0,0.0641961444881153,PRIORITIZE,1,1,ESTABLISHED
FREEWIRE TECHNOLOGIES INC,Other Energy,freewiretechnologies.com,Newark,CA,94560,(415) 779-5515,2014.0,11.0,"Alexander Fishkin, Arcady Sosinov, Martin Lynch, Michael Beer","Benjamin Stanzl, Chad Bown, Craig Coburn, Daniela Proske, Gary Moskovitz, Heath Morrison, Joaquin Silva, Michael Mahan, Richard Steele, Robert Tichio, Scott Lang, Shaun Healey, Todd Becker",136507798.0,44122502.0,Series B,2023-11-06,28.0,0.0,100.0,122387.0,"['Senior Automation Test Engineer', 'Firmware Engineer', 'Associate Product Manager', 'Financial Analyst']",28.0,0.8793527963418923,1.0,1.0,0.1206472036581076,PRIORITIZE,1,1,ESTABLISHED
FULCRUM THERAPEUTICS INC,Biotechnology,,CAMBRIDGE,MA,2139,(617) 651-8851,2015.0,10.0,"Amit Hasija, Bryan Stuart, Diego Cadavid, Owen Wallace, Robert Gould","Alan Ezekowitz, James Collins, James Geraghty, Kate Haviland, Katina Dorton, Mark Levin",208499987.0,68499987.0,Series C,2020-06-09,6.0,0.0,100.0,300000.0,"['Senior Director Neuromuscular, Medical Affairs ']",6.0,0.6096569663469354,1.0,1.0,0.3903430336530644,CONSIDER,1,0,ESTABLISHED
FUSION SURPLUS SOLUTIONS INC,Other Technology,,SAN FRANCISCO,CA,94133-1332,(415) 543-5825,2014.0,11.0,Sebastian Baerend,,,,,,204.0,0.0,100.0,104000.0,"['Database Analyst', 'Developer III', 'SYSTEMS ANALYST', 'Senior Software Engineer', 'Service Engineer']",204.0,0.9815166934819592,1.0,1.0,0.0184833065180407,PRIORITIZE,1,1,ESTABLISHED
FYUSION INC,Computers,fyusion.com,SAN FRANCISCO,CA,94103,(415) 523-3878,2013.0,12.0,"RADU B. RUSU, Radu B. Rusu, YUKIKO A. JENKINS","GREG D. PAPADOPOULOS, Greg D. Papadopoulos, STEFAN J.J. HOLZER, STEPHEN D. MILLER, Stefan J.J. Holzer, Stephen D. Miller, TED D. YAMAMOTO, Ted B. Yamamoto",58273735.0,20000000.0,Series B,2019-01-16,16.0,0.0,100.0,165000.0,"['SENIOR COMPUTER VISION RESEARCH ENGINEER', 'Research Engineer']",16.0,0.8063865817272802,1.0,1.0,0.1936134182727198,PRIORITIZE,1,1,ESTABLISHED
GENERATE CAPITAL INC,Other Energy,generatecapital.com,SAN FRANCISCO,CA,94111,(415) 360-3063,2014.0,11.0,"DARRYL CARBONARO, JACK STARK, JIGAR SHAH, Jigar Shah, Judy Bornstein, MATAN FRIEDMAN, Matan Friedman, NAM TRAN NGUYEN, SCOTT JACOBS, Scott Jacobs","DEREK CHU, JASON FISH, JEFF COLIN, Jason Fish, Jeff Colin, Josh Green, KRISTIN GROOS RICHMOND, LYNN JURICH, Marcus Frampton, RAJ ATLURU, RAJESH ATLURU, RICHARD KAUFFMAN, ROSS ISRAEL, Raj Atluru, Rajesh Atluru, SUSAN E. GONZALEZ",3262830187.0,1999999995.0,Series D+,2021-04-23,32.0,0.0,100.0,130000.0,"['Financial and Investment Analyst ', 'Accountant (Senior Manager, Tax)']",32.0,0.8928172849426366,1.0,1.0,0.1071827150573634,PRIORITIZE,1,1,ESTABLISHED
GINGERIO INC,Other Health Care,gingerio.com,SAN FRANCISCO,CA,94105,(855) 446-4374,2010.0,15.0,"Ainslie Mayberry, Ananthalakshmi Srinivasan, Anmol Madan, Karan Singh, Russell Glass","Alex Pentland, Bruce Armstrong, Dave Schulte, David ibnAle, Jon Callaghan, Molly Coye, Ryan Phillips, Sam Brasch, Steve Kraus",102344234.0,50060467.0,Series C,2020-08-06,24.0,0.0,100.0,190237.5,"['Director, Business Operations', 'Staff Data Engineer ', 'Lead Machine Learning Engineer']",24.0,0.8620194241710247,1.0,1.0,0.1379805758289752,PRIORITIZE,1,1,ESTABLISHED
GITHUB INC,Other Technology,github.com,SAN FRANCISCO,CA,94107,(415) 448-6673,2012.0,13.0,"Chris Wanstrath, Julio Avalos, Phillip Hyett, Ted Nyman, Vlado Herman","Jim Goetz, Peter Levine",251000000.0,251000000.0,Series D+,2015-07-23,86.0,2.0,97.72727272727272,141003.0,"['SENIOR SOFTWARE ENGINEER', 'SENIOR SOFTWARE ENGINEER - FRAMEWORKS', 'VP, Product Strategy', 'SENIOR SOFTWARE ENGINEERING MANAGER']",88.0,0.9208730093704056,0.993745202855862,0.9772727272727272,0.0728721934854563,PRIORITIZE,1,1,ESTABLISHED
GLOWFORGE INC,Other Technology,glowforge.com,SEATTLE,WA,98116,(206) 883-2500,2014.0,11.0,"ANTHONY DAMON WRIGHT, DAN SHAPIRO, MARK GOSSELIN, TOM DAMON MUNRO, TOM MUNRO, TONY WRIGHT","BRADLEY DAMON FELD, BRADLEY FELD",43886648.0,32499989.0,Series B,2016-07-27,8.0,0.0,100.0,235387.0,['Technology Chief of Staff'],8.0,0.6755843804891231,1.0,1.0,0.3244156195108769,CONSIDER,1,0,ESTABLISHED
GOFORWARD INC,Other,goforward.io,SAN FRANCISCO,CA,94107,(415) 349-0805,2015.0,10.0,Adrian Aoun,"Keith Rabois, Max Ventilla, Ram Shriram",29995759.0,29995759.0,Series B,2016-07-13,24.0,0.0,100.0,130129.0,"['Hardware Engineer', 'Law Clerk', 'Metric Operations']",24.0,0.8620194241710247,1.0,1.0,0.1379805758289752,PRIORITIZE,1,1,ESTABLISHED
GOOD METHODS GLOBAL INC,Other,goodmethodsglobal.com,Missouri City,TX,77459,(650) 843-0988,2014.0,11.0,"Abilash Krishna, Anthony Vinod Thomas","Babu Vinod Sivadasan, Kevin Michael Cook, Shekhar Michael Kirani",9398055.0,9398055.0,Series A,2017-04-18,16.0,0.0,100.0,81682.0,['Product Specialist'],16.0,0.8063865817272802,1.0,1.0,0.1936134182727198,PRIORITIZE,1,1,ESTABLISHED
GORGIAS INC,Other,gorgias.com,San Francisco,CA,94104,(617) 832-1738,2015.0,10.0,"Alexandru Plugaru, Romain Lapeyre",Jason Lemkin,82500059.0,28518975.0,Series B,2024-02-13,22.0,2.0,91.66666666666666,206850.0,['Machine Learning Engineer '],24.0,0.741507847985494,0.9768416721570266,0.9166666666666666,0.2353338241715326,PRIORITIZE,1,1,ESTABLISHED
GRO INTELLIGENCE INC,Other Technology,gro-intelligence.com,New York,NY,10036,(000) 000-0000,2014.0,11.0,Sara Menker,"Akinyemi Lalude, Gary Cohn, Nancy King, Travis West, Trina Van Pelt",89867776.0,86367776.0,Series C,2020-12-22,12.0,0.0,100.0,140000.0,"['Senior DevOps Engineer', 'Software Engineer', 'Technical Program Manager', 'Senior Product Designer']",12.0,0.7574992425007574,1.0,1.0,0.2425007574992426,PRIORITIZE,1,1,ESTABLISHED
GROVE LABS INC,Other Technology,grove-labs.com,Somerville,MA,2143,(413) 374-0739,2013.0,12.0,"Gabriel Blanchet, James Byron",,4009919.0,1791413.0,Pre-Seed,2015-08-26,4.0,0.0,100.0,127338.0,['Full Stack Engineer'],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
GRUBMARKET INC,Other,grubmarket.com,NEWARK,CA,94560,(510) 296-0331,2014.0,11.0,"Dan Rabens, Lee Fan, Minyi Xu, Shih-Chieh Tao","Hans Tung, Zhoujia Brad Bao, Zhun Qiu",53591245.0,28500000.0,Series B,2019-02-01,28.0,0.0,100.0,120000.0,"['Senior Financial Analyst', 'Financial Data Analyst']",28.0,0.8793527963418923,1.0,1.0,0.1206472036581076,PRIORITIZE,1,1,ESTABLISHED
GUARANTR INC,Insurance,guarantr.com,NEW YORK,NY,10007,(917) 536-3623,2014.0,11.0,Julien Bonneville,,11850000.0,11850000.0,Series A,2017-09-01,60.0,0.0,100.0,110500.0,"['Systems Coordinator Manager', 'Technical Business Analyst ', 'Senior UX Designer', 'Senior Director of Risk', 'Engineer Manager']",60.0,0.9398260695220668,1.0,1.0,0.0601739304779329,PRIORITIZE,1,1,ESTABLISHED
GUARDANT HEALTH INC,Biotechnology,guardanthealth.com,REDWOOD CITY,CA,94063,(650) 290-7575,2011.0,14.0,"AmirAli Talasaz, Helmy Eltoukhy, Michael Wiley","Aaref Hilaly, Samir Kaul, Samir Kaur, Warren Hogarth",522919351.0,320419351.0,Series D+,2017-05-09,214.0,2.0,99.07407407407408,124717.0,"['Bioinformatics Scientist', 'Manager, Bioinformatics', 'Senior Scientist', 'Senior Regulatory Affairs Manager', 'Manager, Data Engineering']",216.0,0.9668735348025802,0.9974571469246272,0.9907407407407408,0.0305836121220468,PRIORITIZE,1,1,ESTABLISHED
HASHICORP INC,Other Technology,hashicorp.com,SAN FRANCISCO,CA,94105,(415) 301-3227,2013.0,12.0,"Armon Dadgar, David McJannet, Mitchell Hashimoto","Glenn Solomon, Navin Chaddha, Robin Vasan, Scott Raney, Susan St. Ledger",314999596.0,174999646.0,Series D+,2020-03-06,160.0,2.0,98.76543209876544,135000.0,"['Engineer', 'Product Manager II', 'Product Marketing Manager II', 'Sales Development Representative', 'Senior Product Manager I']",162.0,0.9561084413318937,0.9966078855728152,0.9876543209876544,0.0404994442409216,PRIORITIZE,1,1,ESTABLISHED
HEADSPACE INC,Other Health Care,headspace.com,Venice,CA,90291,(512) 454-7865,2013.0,12.0,"Andrew David Puddicombe, Richard Marsh Pierson, Sean David Brecker",Scott David Kriens,113729581.0,38844132.0,Series B,2017-09-19,18.0,0.0,100.0,186368.0,['Senior Machine Learning Engineer'],18.0,0.8241154494176252,1.0,1.0,0.1758845505823748,PRIORITIZE,1,1,ESTABLISHED
HEALTHIPASS INC,Other Health Care,healthipass.com,NAPERVILLE,IL,60563,(855) 484-4727,2013.0,12.0,Rajesh Voddiraju,Thirumal Nellutla,2000000.0,2000000.0,Pre-Seed,2015-09-11,4.0,0.0,100.0,126173.0,"['Software Engineer, Senior']",4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
HEAP INC,Other Technology,heap.com,San Francisco,CA,94104,(650) 387-3214,2012.0,13.0,"Kenneth Fine, Matin Movassate, Ravi Parikh, Steve Love","Chetan Puttagunta, Matin Movassate, Matt Murphy, Michael McGinn, Ravi Parikh, Ravi Viswanathan",152711716.0,112599966.0,Series D+,2021-11-24,6.0,2.0,75.0,180000.0,['Senior Product Manager'],8.0,0.4092698791025891,0.9285223111419724,0.75,0.5192524320393832,CONSIDER,1,0,ESTABLISHED
HIGHSPOT INC,Other Technology,highspot.com,SEATTLE,WA,98121,(206) 535-2855,2012.0,13.0,"Chris Larson, Chris M. Larson, David M. Wortendyke, David Wortendyke, Haley M. Katsman, Jonathan M. Perera, Matthew Boisen, Matthew M. Boisen, Matthew M. Weil, Oliver M. Sharp, Oliver Sharp, ROBERT WAHBE, Robert Wahbe","Blake Bartlet, Blake M Bartlett, Blake M. Bartlett, Douglas M Pepper, Douglas M. Pepper, Douglas Pepper, Matthew M. Jacobson, Ravi M Mohan, Ravi M. Mohan, TIMOTHY PORTER, Timothy M Porter, Timothy M. Porter, Timothy Porter, Tracey M. Newell",653145296.0,249999946.0,Series D+,2021-12-30,94.0,0.0,100.0,214375.0,"['Sr. Director, Product Design', 'Senior Backend Software Engineer, Training and Coaching', 'Software Engineer', 'Sr. Software Development Engineer']",94.0,0.9607365374237544,1.0,1.0,0.0392634625762455,PRIORITIZE,1,1,ESTABLISHED
HINGE INC,Other Technology,hinge.co,NEW YORK,NY,10010,(502) 445-3111,2011.0,14.0,Justin McLeod,"Andrew Dunn, Tod Francis, William Lomicka",17500000.0,17500000.0,Series B,2014-12-10,40.0,2.0,95.23809523809524,123000.0,['Android Engineer'],42.0,0.8420986468452026,0.9868427513607936,0.9523809523809524,0.144744104515591,PRIORITIZE,1,1,ESTABLISHED
HOBBS BONDED FIBERS LLC,Manufacturing,hobbsbondedfibers.com,NEW YORK,NY,10016,(212) 661-6886,2015.0,10.0,"Brad L. Self, Lawrence L. Hobbs","Carey E. Hobbs, Carey L. Hobbs, Dickson E. Suit, Douglas E. Hailey, John E. Weinhardt, Richard L. Baum, Jr.",11250000.0,3250000.0,Seed,2019-09-20,4.0,0.0,100.0,90000.0,['Supply Chain Manager'],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
HOULIHAN LOKEY INC,Other Banking and Financial Services,houlihanlokey.com,LOS ANGELES,CA,90067,(310) 553-8871,2015.0,10.0,"Christopher M. Crain, David A. Preiser, J. Lindsey Alley, Scott J. Adelson, Scott L. Beiser","Bennett Van de Bunt, Paul E. Wilson, Robert A. Schriesheim, Robert J. B. Lenhardt, Ron K. Barger",,,,,84.0,6.0,93.33333333333331,135000.0,"['Associate', 'Financial Analyst', 'Vice President', 'Senior Business Analyst, HCG', 'Business Unit Analyst']",90.0,0.8620973805849326,0.9690904934496108,0.9333333333333332,0.1069931128646781,PRIORITIZE,1,1,ESTABLISHED
